QID;W1;W2;Qtype;u1;u2;u3;u4;u5;u6;u7;u8;u9;u10;u11;u12
343;sabahlardaki;kahvaltý;Sim;0;0;3;0;0;3;2;0;4;3;0;0
344;kadýn;anne;Sim;2;1;3;5;1;8;5;1;4;7;0;6
345;sabýr;mühendis;Sim;0;0;0;1;0;1;0;0;0;2;0;0
346;yakýn;sýký;Sim;4;0;3;6;2;9;1;3;6;7;2;6
347;saray;kral;Sim;0;0;8;3;0;1;7;0;6;4;0;3
348;damar;mezar;Sim;0;0;0;0;0;1;0;0;0;2;0;0
349;kuyumcu;mücevher;Sim;0;1;8;4;0;4;3;0;6;4;0;0
350;müzik;ses;Sim;5;1;8;5;2;5;6;1;7;6;0;6
351;alet;terazi;Sim;0;1;1;2;0;1;3;0;3;6;1;6
352;kesintili;manavýnkiler;Sim;0;0;0;0;0;1;0;0;0;1;0;0
353;cansýz;ahþap;Sim;1;0;0;3;0;2;1;0;0;3;0;0
354;otobüs;sefer;Sim;3;0;4;2;0;1;2;0;4;3;0;0
355;kahvaltý;adalet;Sim;0;0;0;0;0;1;0;0;0;2;0;0
356;cam;büyücü;Sim;0;0;0;0;0;1;0;0;0;2;0;0
357;anarþist;somurtma;Sim;0;0;0;0;0;1;0;0;0;1;0;0
358;kýtlýklarda;tüketim;Sim;0;0;0;0;0;3;1;0;3;3;0;0
359;kitaphane;kitap;Sim;0;0;6;3;0;5;9;0;4;6;0;0
360;kuþku;sabýrsýzlýk;Sim;0;0;0;0;0;1;0;0;0;4;0;0
361;çiçek;papatya;Sim;1;5;1;6;1;5;2;1;4;7;1;6
362;manken;kelebek;Sim;0;0;0;0;0;1;0;0;0;2;0;0
363;ýslak;yaðmur;Sim;0;0;3;3;0;4;3;0;4;4;0;1
364;mühendis;üretim;Sim;0;0;1;2;0;1;3;0;4;3;0;0
365;süreli;ebediyeten;Sim;0;0;8;0;0;1;0;0;0;1;0;0
366;cisim;cihaz;Sim;0;0;2;3;0;4;0;0;2;5;0;7
367;korumaktaydýlar;öldürülüþündeki;Sim;0;0;0;0;0;1;0;0;0;1;0;0
368;aile;somut;Sim;0;0;0;0;0;1;0;0;0;1;0;0
369;ses;horultu;Sim;1;0;6;4;1;5;3;2;3;5;6;6
370;sesteþ;evetçiler;Sim;0;0;0;0;0;1;0;0;0;1;0;0
371;kemalci;kemalizmcilerden;Sim;0;10;9;7;0;7;9;5;2;4;10;0
372;þiddetli;yorgunluk;Sim;0;0;0;0;0;1;0;0;2;1;0;0
373;papatya;gülüþ;Sim;0;0;0;0;0;1;1;0;0;2;0;0
374;ocak;kabristan;Sim;0;0;0;0;0;1;0;0;0;2;0;0
375;tecrübelenme;alýþkýn;Sim;5;5;8;0;8;1;0;0;3;4;0;0
376;haþarý;pimpirikli;Sim;0;0;0;0;0;1;0;0;0;2;0;0
377;transparan;yoðurt;Sim;0;0;0;0;0;1;0;0;0;1;0;0
378;oruç;taksi;Sim;0;0;0;0;0;1;0;0;0;2;0;0
379;kuyumcu;terazi;Sim;0;0;0;0;0;1;0;0;3;3;0;0
380;oðlan;delikanlý;Sim;4;3;7;6;0;6;5;0;4;5;7;9
381;mezarlýk;tavuk;Sim;0;0;0;0;0;1;0;0;0;2;0;0
382;hamile;dükkan;Sim;0;0;0;0;0;1;0;0;0;2;0;0
383;primatçalarý;zeki;Sim;0;0;0;0;0;1;0;0;0;1;0;0
384;hastane;týp;Sim;0;0;7;5;0;5;2;1;6;4;0;0
385;terazi;týp;Sim;0;0;0;0;0;1;0;0;0;2;0;0
386;avare;uyumlu;Sim;0;0;0;0;0;1;0;0;0;1;0;0
387;sabýrsýzlýk;gözlükçü;Sim;0;0;0;0;0;1;0;0;0;2;0;0
388;kum;kadeh;Sim;0;0;0;0;0;1;2;0;0;2;0;0
389;cinayetindeki;öldürülüþündeki;Sim;9;10;9;0;9;9;6;3;7;7;9;0
390;primatçalarý;maymungilleri;Sim;10;0;8;5;10;9;8;2;7;8;0;9
391;sihirbaz;öncülük;Sim;0;0;0;0;0;1;0;0;0;2;0;0
392;kuþ;tavuk;Sim;1;3;4;5;0;3;1;0;4;5;1;7
393;giysi;ceket;Sim;1;1;4;6;0;5;2;1;4;5;1;6
394;pamuk;üretim;Sim;0;0;3;2;0;1;1;0;4;2;0;0
395;noksan;eksik;Sim;10;10;10;10;9;9;9;8;7;10;10;10
396;taþýt;otobüs;Sim;2;2;5;6;0;5;6;0;5;6;1;6
397;eþya;radyo;Sim;0;1;0;4;0;1;2;0;4;6;1;6
398;satmýþlardýr;almýþlardýr;Sim;0;0;0;0;0;0;0;0;0;1;0;0
399;cihaz;televizyon;Sim;0;0;1;6;0;4;2;0;4;6;1;6
400;suskunluðuna;brüt;Sim;0;0;0;0;0;1;0;0;0;1;0;0
401;suskunluðuna;konuþkanlýðýna;Sim;0;0;0;0;0;0;0;0;0;0;0;0
402;geceleyin;erkekçene;Sim;0;0;0;0;0;1;0;0;0;1;0;0
403;medya;kral;Sim;0;0;0;0;0;1;0;0;0;2;0;0
404;iyiliyorsun;pratikleþtirsin;Sim;0;0;5;3;0;1;1;0;0;2;0;0
405;þüphe;mutluluk;Sim;0;0;0;0;0;1;0;0;0;2;0;0
406;memur;polis;Sim;0;0;1;4;8;5;3;0;4;5;7;6
407;meslek;kuyumcu;Sim;0;0;0;4;0;5;2;0;4;5;0;6
408;fýrýn;öncülük;Sim;0;0;0;0;0;1;0;0;0;2;0;0
409;eski;yaþlýymýþçasýna;Sim;2;0;7;4;0;1;1;0;4;3;0;0
410;masum;dostçasýna;Sim;0;0;5;0;0;1;1;0;0;2;0;0
411;lokanta;dükkan;Sim;2;0;0;3;0;5;2;0;4;6;0;5
412;ebleh;akýllý;Sim;0;0;0;0;0;0;0;0;0;0;0;0
413;vitrin;televizyon;Sim;1;0;0;0;0;1;0;0;0;2;0;0
414;þeffaf;opak;Sim;0;0;9;4;0;0;0;0;0;1;0;0
415;dua;ölü;Sim;0;0;0;1;0;1;1;0;3;3;0;0
416;yorgunluk;sarsýcý;Sim;0;0;0;1;0;1;0;0;0;2;0;0
417;davadaþ;yoldaþ;Sim;6;9;9;9;8;9;8;5;6;8;8;9
418;özgür;serbest;Sim;9;10;9;6;8;9;10;0;10;10;0;0
419;gözlük;cam;Sim;0;5;8;4;1;1;3;0;6;6;5;2
420;vicdan;pýhtý;Sim;0;0;0;0;0;1;0;0;0;2;0;0
421;gülüþ;gül;Sim;0;0;6;0;0;7;0;2;4;3;0;0
422;kahvaltý;zeytin;Sim;0;0;1;2;0;1;1;0;4;5;0;0
423;ceket;kapüþon;Sim;0;0;7;3;0;5;2;0;4;4;0;0
424;araba;seyahat;Sim;0;0;3;3;0;1;1;0;4;3;0;0
425;evrensel;karýþýk;Sim;0;0;0;0;0;1;0;0;0;2;0;0
426;beyaz;horultu;Sim;0;0;0;0;0;1;0;0;0;1;0;0
427;gürültü;müzik;Sim;3;0;4;2;0;7;3;1;3;3;0;0
428;taksi;yüzük;Sim;0;0;0;0;0;1;0;0;0;2;0;0
429;baþýboþ;yorgun;Sim;0;0;0;0;0;1;0;0;0;2;0;0
430;hayvan;kuþ;Sim;1;1;2;6;0;5;3;1;4;6;1;6
431;opak;çamaþýr;Sim;0;1;1;0;0;1;0;0;0;1;0;0
432;kahin;þüphe;Sim;0;0;0;0;0;1;0;0;0;2;0;0
433;çenebazlýðýna;kirlice;Sim;0;0;0;0;0;1;0;0;0;1;0;0
434;serin;sýcak;Sim;0;0;0;0;0;0;0;0;0;1;0;0
435;inançlýlýk;ateistlik;Sim;0;0;0;0;0;0;0;0;0;8;0;0
436;konuþkanlýðýna;çenebazlýðýna;Sim;9;10;8;8;7;0;7;5;4;8;10;10
437;sanatçý;þair;Sim;1;0;4;7;0;5;3;0;4;6;5;9
438;mezarhane;ölü;Sim;0;0;5;2;0;1;3;0;4;4;0;0
439;anarþist;aykýrý;Sim;8;0;9;5;0;1;4;0;7;8;8;0
440;uzak;fazlalýk;Sim;0;0;1;1;0;1;0;0;0;1;0;0
441;fazlalýk;noksan;Sim;0;0;0;0;0;0;0;0;0;1;0;0
442;meslek;sanatçý;Sim;0;0;1;4;0;4;1;0;4;6;0;6
443;týp;yardým;Sim;0;0;4;2;0;1;1;0;4;4;0;0
444;kuyumcu;yüzük;Sim;0;1;6;2;0;3;2;0;5;4;0;0
445;meyve;manavýnkiler;Sim;0;0;6;3;0;7;3;0;5;5;0;0
446;devlet;korumaktaydýlar;Sim;0;0;0;0;0;1;0;0;0;2;0;0
447;kelebek;kemik;Sim;0;0;0;0;0;1;0;0;0;2;0;0
448;harika;þahane;Sim;10;10;10;9;9;9;0;0;8;9;10;10
449;faiz;kazanç;Sim;3;10;3;3;0;8;1;8;4;5;0;5
450;mezarlýk;mezar;Sim;2;2;7;6;7;9;8;5;5;7;0;5
451;gazete;haber;Sim;4;3;7;6;0;7;7;1;5;4;2;0
452;kýyý;sahil;Sim;5;10;7;7;10;9;9;5;5;8;9;8
453;hukuk;ispatým;Sim;0;1;4;1;0;1;3;0;5;4;0;0
454;gündüz;geceleyin;Sim;0;0;0;0;0;0;0;0;0;1;0;0
455;noksan;gömlek;Sim;0;0;0;0;0;1;0;0;0;1;0;0
456;kötülüyorsun;bolluklarda;Sim;0;0;0;0;0;1;0;0;0;1;0;0
457;alýþkýn;yeni;Sim;0;0;0;0;0;1;0;0;0;2;0;0
458;uygulamak;alet;Sim;0;0;4;0;0;1;0;0;0;3;0;0
459;cevher;mücevher;Sim;5;0;9;0;0;9;1;1;4;5;0;8
460;medya;gazete;Sim;2;3;8;3;0;7;3;5;5;6;0;7
461;kadeh;içki;Sim;3;2;7;5;1;1;2;0;5;4;0;6
462;atletik;ebleh;Sim;0;0;0;0;0;1;0;0;0;2;0;0
463;okul;öðrenci;Sim;0;2;4;2;0;1;2;0;5;4;0;0
464;öldürülüþündeki;suçlu;Sim;0;0;2;0;0;1;2;0;3;3;0;0
465;düzenci;anarþist;Sim;0;0;0;0;0;0;1;0;0;0;0;0
466;kýyý;gemicik;Sim;0;0;0;0;0;1;2;0;3;3;0;0
467;oruç;zaman;Sim;0;2;1;0;0;2;2;0;5;2;0;0
468;kadýn;çocuk;Sim;1;2;0;1;0;5;3;0;0;5;0;0
469;ateistlik;teizm;Sim;0;0;1;7;0;0;0;0;0;0;0;0
470;barýþtýrýlýrken;savaþtýrýlýrken;Sim;0;0;0;0;0;0;0;0;0;0;0;0
471;horoz;alet;Sim;0;0;0;0;0;1;0;0;0;2;0;0
472;borçlanmak;alacaklanmak;Sim;0;0;0;0;0;0;0;0;0;0;0;0
473;maymunsularý;maymungilleri;Sim;9;10;8;8;9;9;8;5;6;9;9;0
474;hamile;düzenci;Sim;0;0;0;0;0;1;0;0;0;2;0;0
475;öðle;orman;Sim;0;0;0;0;0;1;0;0;0;2;0;0
476;otomobil;araba;Sim;10;8;10;9;10;9;10;10;9;7;8;10
477;meyve;muz;Sim;0;2;1;6;0;5;5;1;5;6;1;6
478;süt;biliþim;Sim;0;0;0;0;0;1;0;0;0;2;0;0
479;atatürkist;davadaþ;Sim;0;0;0;3;0;5;1;0;0;3;0;0
480;mezar;ölü;Sim;1;0;5;3;0;2;3;1;7;4;0;0
481;vitrin;manken;Sim;0;1;1;3;0;1;1;0;5;3;0;0
482;turizm;düzenci;Sim;0;0;0;0;0;1;0;0;0;2;0;0
483;fani;ölü;Sim;0;10;10;3;0;0;0;0;0;3;0;0
484;sosyalleþtirdikleri;baþýboþ;Sim;0;0;0;0;0;1;0;0;0;1;0;0
485;kirlice;lamba;Sim;0;0;0;0;0;1;0;0;0;1;0;0
486;kadýn;hamile;Sim;0;1;4;3;0;6;5;1;0;3;0;0
487;karýþýk;temiz;Sim;0;0;0;0;0;1;1;0;0;2;0;0
488;þair;sabýr;Sim;0;0;0;0;0;1;1;0;0;2;0;0
489;maymunsularý;kuþ;Sim;0;0;0;2;0;1;1;0;4;5;0;0
490;þeffaf;transparan;Sim;9;10;10;7;10;9;9;10;8;9;10;10
491;hayvan;böcek;Sim;1;0;2;4;0;5;4;2;4;6;1;6
492;cisim;somut;Sim;1;0;1;4;0;7;4;0;3;4;0;2
493;aile;anne;Sim;1;0;4;4;0;1;2;0;4;7;0;0
494;varlýk;cisim;Sim;2;1;6;6;0;8;6;0;4;7;7;4
495;öðle;ikindi;Sim;5;0;1;2;6;6;3;5;10;6;5;6
496;soðuk;sýcak;Sim;0;0;0;0;0;0;0;0;0;0;0;0
497;peþinatsýz;gülümseme;Sim;0;0;0;0;0;1;0;0;0;1;0;0
498;kum;hastane;Sim;0;0;0;0;0;1;0;0;0;2;0;0
499;fýrýn;kahin;Sim;0;0;0;0;0;1;0;0;0;2;0;0
500;uyumlu;aykýrý;Sim;0;0;0;0;0;0;0;0;0;0;0;0
501;mýzrap;barýnak;Rel;0;0;0;0;0;0;0;0;0;1;0;0
502;kýrmýzý;gül;Rel;9;3;7;6;8;7;8;7;10;8;5;8
503;suçlu;þüphe;Rel;10;1;8;6;8;5;8;7;10;7;5;9
504;laikçiler;sekülerizmciler;Rel;10;9;10;10;10;7;7;10;10;10;10;10
505;bitki;zeytin;Rel;5;5;7;6;8;5;6;6;7;7;10;9
506;serin;soðuk;Rel;9;8;9;9;9;9;9;9;7;9;10;9
507;gül;pamuk;Rel;6;0;0;3;7;5;5;9;2;6;0;0
508;içki;alkol;Rel;10;8;9;9;10;10;8;8;9;8;10;10
509;köle;serbest;Rel;9;0;9;0;7;9;9;7;0;8;10;10
510;saray;pýhtý;Rel;0;0;0;0;0;1;0;0;0;1;0;0
511;affediþi;baðýþlayýþý;Rel;10;9;10;6;9;9;8;9;8;10;10;10
512;sofra;zeytin;Rel;7;5;5;8;7;7;7;7;6;8;10;9
513;eþya;gözlük;Rel;5;3;4;5;6;7;6;7;5;7;8;9
514;meslek;mühendis;Rel;8;5;5;7;7;8;7;7;5;7;8;9
515;savunmaktaydýlar;korumaktaydýlar;Rel;10;9;10;6;9;8;7;10;5;9;10;9
516;peynir;ipek;Rel;2;0;0;0;0;2;0;0;0;2;0;0
517;turizm;seyahat;Rel;10;10;9;8;8;8;7;8;8;7;8;8
518;týknaz;uyumlu;Rel;2;0;6;0;0;1;0;0;0;1;0;0
519;kemalci;atatürkist;Rel;10;10;10;10;10;9;10;10;8;9;10;8,533333333
520;polis;yardým;Rel;10;6;8;7;8;6;7;7;7;7;8;10
521;gürültü;otobüs;Rel;8;0;4;6;6;8;5;3;4;6;0;10
522;temiz;titiz;Rel;10;10;9;10;6;8;8;10;10;9;10;10
523;kitaplýklar;kitap;Rel;10;10;10;7;9;9;8;7;6;9;10;10
524;böcek;karýnca;Rel;7;5;8;8;7;8;8;7;5;7;8;10
525;gazete;kitap;Rel;10;5;7;8;8;6;7;5;5;7;8;10
526;okul;kordon;Rel;0;0;4;0;0;8;0;0;0;1;0;0
527;ibadet;oruç;Rel;10;6;7;9;8;8;9;8;8;8;8;10
528;varlýk;hayvan;Rel;6;5;5;7;6;7;6;3;4;7;0;10
529;tüketim;üretim;Rel;10;9;10;6;9;9;8;8;4;9;10;10
530;sihirbaz;büyücü;Rel;2;5;10;8;4;8;10;10;8;9;10;4
531;giysi;gömlek;Rel;6;6;7;8;8;8;6;7;7;8;8;10
532;hayvan;tavuk;Rel;6;6;7;8;7;7;7;7;7;7;8;10
533;sevgili;çiçek;Rel;9;8;5;7;8;9;6;5;7;7;5;2
534;turizm;ekonomi;Rel;9;0;6;7;5;8;4;5;7;7;3;9
535;eski;yeni;Rel;10;10;10;6;9;10;8;9;7;9;10;10
536;yüzük;sevgili;Rel;10;0;6;7;8;8;6;7;7;6;5;3
537;primatçalarý;maymunsularý;Rel;10;7;10;8;10;9;9;10;7;8;0;10
538;bilimci;faiz;Rel;2;0;0;0;0;1;0;0;0;1;0;0
539;gündüz;öðle;Rel;10;10;5;7;6;7;7;9;7;10;10;10
540;otomobil;taksi;Rel;7;9;10;8;8;9;8;7;10;7;10;10
541;çare;sos;Rel;0;3;0;1;0;1;0;0;0;1;0;9
542;evrensel;sos;Rel;0;0;0;0;0;1;0;0;0;0;0;10
543;viski;varlýk;Rel;0;0;0;3;0;1;0;0;0;4;0;2
544;alacaklanmak;tabure;Rel;0;0;0;0;0;1;0;0;0;0;0;0
545;sebze;enginar;Rel;5;7;7;6;6;7;8;8;9;6;8;10
546;damar;rahatsýz;Rel;6;0;4;5;6;8;5;2;5;4;0;0
547;öðrenci;yaðcýlýk;Rel;7;0;3;3;7;9;4;0;5;6;0;4
548;bitki;sebze;Rel;7;7;8;6;8;7;6;7;7;7;8;10
549;zarar;týmarhane;Rel;2;0;1;3;2;1;0;0;0;2;0;2
550;kelebek;eski;Rel;0;0;0;0;0;1;0;0;0;0;0;0
551;zaman;gündüz;Rel;8;5;9;6;6;6;7;7;7;7;8;10
552;meslek;polis;Rel;8;5;8;7;6;7;6;7;6;7;8;10
553;su;yaðmur;Rel;10;7;8;7;8;8;9;7;5;8;9;10
554;nefes;soyut;Rel;3;0;1;3;0;1;0;0;0;2;0;0
555;yedigen;aykýrý;Rel;1;0;0;0;0;1;3;0;0;0;0;0
556;titiz;pimpirikli;Rel;10;0;9;4;7;8;7;8;3;8;10;8
557;fotoðraf;karton;Rel;9;5;4;7;4;1;5;4;3;4;0;0
558;tutsak;serbest;Rel;10;6;10;6;8;9;9;9;5;9;10;10
559;fazlalýk;ýsýnmýþ;Rel;0;0;7;2;0;1;5;0;0;1;0;0
560;laikçiler;tepe;Rel;0;0;0;3;0;1;0;0,466666667;0;1;0;0
561;suçlu;baðýþlayýþý;Rel;9;0;6;6;7;8;7;5;2;8;9;8
562;serbest;radyo;Rel;7;0;4;4;0;1;0;0;0;3;0;1,6
563;uzun;týknaz;Rel;8;7;0;6;6;3;7;0;0;6;0;9
564;kan;pýhtý;Rel;10;7;8;7;7;8;8;6;8;7;8;10
565;delilim;ispatým;Rel;10;10;10;10;9;8;10;8;9;10;10;10
566;erkekçene;eksik;Rel;4;0;0;0;0;1;0;0;0;1;0;0
567;delilim;deli;Rel;0;0;9;0;0;1;0;0;0;0;0;0
568;üþengeç;üþengen;Rel;9;8;10;9;8;9;8;8;7;8;0;10
569;gül;dostçasýna;Rel;7;0;0;0;0;7;4;0;5;2;0;0
570;kum;karýnca;Rel;10;6;2;6;6;8;3;5;5;3;0;0
571;tutsak;köle;Rel;10;9;10;9;9;8;10;8;9;9;10;10
572;kazanç;aykýrý;Rel;2;0;0;0;0;1;3;0;0;2;0;0
573;içki;viski;Rel;10;7;8;9;9;10;9;7;8;7;9;10
574;üþengen;yedigen;Rel;0;0;0;0;0;1;0;1;0;1;0;0
575;mutfak;kahvaltý;Rel;10;7;5;8;8;7;7;3;7;6;8;9
576;çamaþýr;külot;Rel;10;8;6;9;9;8;7;7;7;7;8;10
577;yorgun;yorgunluk;Rel;10;8;10;9;10;9;10;7;7;9;8;10
578;transparan;kemik;Rel;2;0;0;1;3;1;0;0;0;0;0;0
579;muz;yoðurt;Rel;4;0;1;6;0;7;5;5;5;6;0;2
580;damar;kan;Rel;10;10;9;8;8;8;8;7;9;6;9;9
581;ilkellik;cenin;Rel;1;0;4;0;0;1;0;0;0;3;0;8
582;temiz;kirlice;Rel;9;5;10;6;7;7;8;5;3;8;10;10
583;modernite;öncülük;Rel;6;9;9;2;6;8;6;4;3;4;0;7
584;peþinatsýz;borçlanmak;Rel;10;7;7;4;7;6;4;4;7;5;4;7
585;öðrenci;kitap;Rel;10;7;9;6;8;8;7;4;6;6;8;9
586;mühendis;biliþim;Rel;9;7;8;5;8;9;7;7;6;5;3;8
587;zeki;çocuk;Rel;10;4;3;6;8;8;5;1;5;4;4;5
588;avare;baþýboþ;Rel;10;10;10;9;9;8;8;9;9;9;10;10
589;tren;inançlýlýk;Rel;0;0;0;0;0;1;0;0;0;1;0;0
590;mücevher;þahane;Rel;4;2;7;7;2;1;0;1;5;4;0;0
591;baþladýlarsa;bitirdilerse;Rel;9;9;10;9;8;7;9;5;0;9;10;10
592;keþiþ;köle;Rel;2;3;3;4;0;6;1;0;0;3;0;0
593;palto;ceket;Rel;8;8;9;9;9;8;7;8;5;7;10;8
594;oksijen;su;Rel;10;9;8;7;9;7;8;6;5;6;9;8
595;taþýt;tren;Rel;9;8;9;8;10;7;9;7;5;7;9;10
596;kýyý;tepe;Rel;7;0;6;6;6;4;4;4;0;5;5;2
597;adalet;vicdan;Rel;10;7;8;8;7;7;3;4;7;8;0;9
598;rahatsýz;alýþkýn;Rel;8;5;3;0;8;1;9;5;0;7;3;4
599;kavramsallaþtýrsýn;soyut;Rel;8;5;8;6;7;1;7;6;0;5;0;5
600;hayat;fani;Rel;10;9;9;7;7;7;6;2;8;5;7;8
601;ýslak;deniz;Rel;10;4;6;7;7;8;6;6;7;6;5;8
602;kitaplýklar;kitaphane;Rel;10;7;10;8;8;9;8;7;7;8;10;9
603;din;vicdan;Rel;10;6;7;7;7;7;4;1;7;8;0;1
604;brüt;çamaþýr;Rel;0;0;0;0;0;1;0;0;0;0;0;0
605;týknaz;þiddetli;Rel;0;0;0;0;0;1;0;0;0;1;0;0
606;yüreklicesine;gevþek;Rel;1;0;1;0;0;0;0;0;0;1;0;0
607;cenin;kuyumcu;Rel;0;0;0;0;0;0;0;0;0;1;0;0
608;gözlükçü;gözlük;Rel;10;10;10;7;9;7;9;7;8;9;10;9
609;affediþi;cezalandýrýþý;Rel;10;7;7;6;7;6;9;6;0;8;10;10
610;biliþim;sebze;Rel;0;0;0;0;0;1;0;0;0;1;0;0
611;iktidarcýlar;sabahlardaki;Rel;0;0;0;0;0;1;0;0;0;1;0;0
612;cinayetindeki;asosyalleþtirdikleri;Rel;0;0;0;0;0;1;0;0;0;2;0;0
613;zarar;kazanç;Rel;10;9;10;6;8;8;9;7;5;9;10;10
614;kuþ;turna;Rel;7;9;8;8;9;7;7;7;8;6;8;10
615;brüt;kesintili;Rel;9;10;8;6;8;6;6,933333333;5;0;8;10;0
616;borçlanmak;faiz;Rel;10;6;8;7;8;6;6;6;4;7;9;0
617;zaman;öðle;Rel;10;6;6;6;9;7;7;7;5;6;9;10
618;mücevher;sicim;Rel;2;0;3;0;0;1;0;0;4;2;0;0
619;külot;aile;Rel;1;0;0;0;0;1;0;0;0;1;0;0
620;mezarhane;mutfak;Rel;0;0;0;0;0;1;0;0;0;1;0;0
621;bitirdilerse;geceleyin;Rel;9;0;0;1;4;1;1;0;0;3;0;0
622;yoldaþ;delikanlý;Rel;6;0;3;2;6;6;1;1;0;3;0;0
623;ýslak;serin;Rel;8;1;8;7;7;7;3;1;6;4;0;8
624;barýnak;týmarhane;Rel;1;0;2;1;0;3;2;0;0;2;0;2
625;zarar;kadýn;Rel;1;0;0;0;0;1;0;0;0;3;0;0
626;atletik;avare;Rel;0;0;0;0;0;1;0;0;0;1;0;0
627;cansýz;yaþlýymýþçasýna;Rel;8;0;4;0;7;1;1;0;0;3;0;0
628;peynir;karton;Rel;0;0;0;0;0;1;2;0;0;2;0;0
629;süreli;süresiz;Rel;10;10;10;6;9;8;9;8;4;9;10;10
630;tutsak;özgür;Rel;10;10;10;6;9;8;9;9;4;9;10;10
631;gevþek;heykel;Rel;0;0;0;0;0;1;0;0;0;1;0;0
632;kamyon;sesteþ;Rel;0;0;0;0;0;1;0;0;0;0;0;0
633;yiyecek;sos;Rel;8;6;2;8;7;6;8;7;10;6;8;10
634;modernite;ilkellik;Rel;9;7;9;6;8;7;8;1;0;7;0;10
635;keþiþ;kahin;Rel;3;4;9;6;7;9;7;5;5;5;0;3
636;turna;uygulamak;Rel;0;0;0;0;0;1;0;0;0;0;0;0
637;ormanlýk;fotoðraf;Rel;7;0;0;4;7;4;0;0;4;4;0;0
638;sosyalleþtirdikleri;asosyalleþtirdikleri;Rel;10;9;10;5;8;9;9;9;0;9;10;10
639;cinayetindeki;kemik;Rel;9;0;0;0;6;2;2;0;4;3;0;0
640;masum;kuþku;Rel;10;0;4;6;7;6;4;7;2;8;0;3
641;delikanlý;büyücü;Rel;0;0;0;0;0;1;0;0;0;1;0;0
642;uzun;atletik;Rel;8;6;8;6;7;6;5;2;10;6;0;7
643;deniz;sahil;Rel;9;10;8;9;8;8;9;7;10;8;9;9
644;orman;meyve;Rel;8;5;5;5;6;6;6;5;10;6;5;7
645;hayat;nefes;Rel;8;5;9;8;8;6;5;6;10;8;8;10
646;mýzrap;tabure;Rel;1;0;1;0;0;1;0;1;0;1;0;1
647;sýcak;ýsýnmýþ;Rel;9;6;9;9;9;8;9;7;10;7;8;9
648;gülüþ;gülümseme;Rel;10;7;10;9;9;9;10;7;10;9;10;10
649;muz;gemicik;Rel;2;0;0;0;0;4;0;0;0;1;0;1
650;hukuk;hayat;Rel;3;0;1;0;4;2;2;0;5;4;0;5
651;evetçiler;hayýrcýlar;Rel;10;10;10;6;9;9;10;9;10;9;10;10
652;kamyon;manken;Rel;0;0;0;0;0;1;0;0;0;1;0;0
653;terazi;adalet;Rel;10;6;7;5;8;7;1;5;10;6;8;9
654;sarsýcý;gençmiþçesine;Rel;0;0;0;0;0;1;0;0;0;2;0;0
655;uzak;yakýn;Rel;10;10;10;6;9;9;10;8;10;9;10;10
656;dükkan;vitrin;Rel;10;6;3;8;8;7;7,933333333;7;10;7;8;9
657;nefes;oksijen;Rel;10;7;8;6;9;8;8;7;10;7;9;9
658;enginar;boza;Rel;2;1;0;5;0;1;3;7;0;6;8;4
659;giysi;külot;Rel;7;5;3;7;9;6;7;7;10;6;8;8
660;deneyimleme;pratikleþtirsin;Rel;8;2;7;4;10;7;0;4;10;5;0;0
661;sahil;ormanlýk;Rel;8;0;2;4;7;4;7;3;4;6;0;0
662;masum;öldürülüþündeki;Rel;10;0;3;0;6;3;3;0;4;6;0;0
663;siyah;petrol;Rel;8;2;6;5;7;7;6;2;8;4;8;7
664;haþarý;enerjik;Rel;8;1;6;7;7;8;6;0;7;4;8;7
665;teizm;müzik;Rel;0;0;0;0;0;1;0;0;0;2;0;0
666;para;faiz;Rel;10;10;6;5;8;7;7;2;8;6;8;3
667;normalleþiyor;sabahlardaki;Rel;0;0;0;0;0;1;0;0;0;1;0;0
668;atatürkçülerden;kemalizmcilerden;Rel;10;10;10;1;9;10;10;8;10;9;10;10
669;alkol;viski;Rel;10;8;8;9;9;10;9;7;10;7;9;10
670;muhalefetçiler;iktidarcýlar;Rel;10;8;10;6;9;8;9;8;10;9;10;10
671;horoz;tavuk;Rel;9;8;9;10;10;9;8;8;10;7;10;10
672;çerçeve;fotoðraf;Rel;10;10;7;8;9;8;8;6;10;7;9;10
673;süt;lokanta;Rel;3;1;0;5;6;1;5;2;10;6;0;2
674;tahta;tabure;Rel;10;1;6;8;9;8;7;5;10;6;2;7
675;kaðýt;karton;Rel;10;7;8;8;8;7;7;5;10;7;10;7
676;varlýk;para;Rel;10;7;9;5;8;9;6;5;10;7;8;8
677;ses;sesteþ;Rel;1;7;9;8;9;8;8;5;7;6;2;7
678;eksik;ilaç;Rel;0;0;0;0;0;1;0;0;0;3;0;0
679;eþya;cisim;Rel;8;6;9;7;8;6;7;8;10;7;0;8
680;haber;uzun;Rel;1;0;0;3;0;1;0;0;0;3;0;3
681;hayýrcýlar;barýþtýrýlýrken;Rel;5;0;6;0;0;1;0;0;0;4;0;0
682;pamuk;giysi;Rel;10;6;8;10;6;6;6;5;10;5;7;5
683;hamile;cenin;Rel;10;7;5;10;8;7;10;6;9;6;9;8
684;ispatým;almýþlardýr;Rel;1;0;0;0;0;1;0;0;0;1;0;0
685;süt;yoðurt;Rel;10;9;8;9;8;8;8;7;10;7;10;8
686;cansýz;enerjik;Rel;9;7;9;0;7;8;9;7;0;8;10;10
687;sahil;kum;Rel;10;9;8;8;8;9;9;6;10;7;10;9
